id;team;played;won;lost;wonPct;league
31;Barcelona;34;29;5;0.853;ACB
32;Baskonia;34;28;6;0.824;ACB
33;Real Madrid;34;28;6;0.824;ACB
34;Tenerife;34;24;10;0.706;ACB
35;Unicaja;34;24;10;0.706;ACB
36;Gran Canaria;34;19;15;0.559;ACB
37;Joventut Badalona;34;19;15;0.559;ACB
38;Valencia;34;17;17;0.500;ACB
39;Murcia;34;16;18;0.471;ACB
40;Breogan;34;14;20;0.412;ACB
41;Obradoiro CAB;34;14;20;0.412;ACB
42;Bilbao;34;14;20;0.412;ACB
43;Basket Zaragoza;34;12;22;0.353;ACB
44;Manresa;34;12;22;0.353;ACB
45;Basquet Girona;34;11;23;0.324;ACB
46;Granada;34;11;23;0.324;ACB
47;Real Betis;34;10;24;0.294;ACB
48;Fuenlabrada;34;4;30;0.118;ACB
