,rowSet
0,"[1610612748, '00', '22021', '04/10/2022', 'East', 'Miami', 82, 53, 29, 0.646, '29-12', '24-17']"
1,"[1610612738, '00', '22021', '04/10/2022', 'East', 'Boston', 82, 51, 31, 0.622, '28-13', '23-18']"
2,"[1610612749, '00', '22021', '04/10/2022', 'East', 'Milwaukee', 82, 51, 31, 0.622, '27-14', '24-17']"
3,"[1610612755, '00', '22021', '04/10/2022', 'East', 'Philadelphia', 82, 51, 31, 0.622, '24-17', '27-14']"
4,"[1610612761, '00', '22021', '04/10/2022', 'East', 'Toronto', 82, 48, 34, 0.585, '24-17', '24-17']"
5,"[1610612741, '00', '22021', '04/10/2022', 'East', 'Chicago', 82, 46, 36, 0.561, '27-14', '19-22']"
6,"[1610612751, '00', '22021', '04/10/2022', 'East', 'Brooklyn', 82, 44, 38, 0.537, '20-21', '24-17']"
7,"[1610612739, '00', '22021', '04/10/2022', 'East', 'Cleveland', 82, 44, 38, 0.537, '25-16', '19-22']"
8,"[1610612737, '00', '22021', '04/10/2022', 'East', 'Atlanta', 82, 43, 39, 0.524, '27-14', '16-25']"
9,"[1610612766, '00', '22021', '04/10/2022', 'East', 'Charlotte', 82, 43, 39, 0.524, '22-19', '21-20']"
10,"[1610612752, '00', '22021', '04/10/2022', 'East', 'New York', 82, 37, 45, 0.451, '17-24', '20-21']"
11,"[1610612764, '00', '22021', '04/10/2022', 'East', 'Washington', 82, 35, 47, 0.427, '21-20', '14-27']"
12,"[1610612754, '00', '22021', '04/10/2022', 'East', 'Indiana', 82, 25, 57, 0.305, '16-25', '9-32']"
13,"[1610612765, '00', '22021', '04/10/2022', 'East', 'Detroit', 82, 23, 59, 0.28, '13-28', '10-31']"
14,"[1610612753, '00', '22021', '04/10/2022', 'East', 'Orlando', 82, 22, 60, 0.268, '12-29', '10-31']"
