id;TEAM_NAME;MIN;FGM;FGA;FG_PCT;FG3M;FG3A;FG3_PCT;FTM;FTA;FT_PCT;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PTS
0; 'Atlanta Hawks'; 3870.0;3563;7385; 0.482;861;2433; 0.354;1479;1803; 0.82;900;2651;3551;1990; 1030.0;558;389;409;1510;9466
1; 'Boston Celtics'; 3900.0;3373;7108; 0.475;1275;3394; 0.376;1409;1734; 0.813;771;2846;3617;2116; 1059.0;512;420;311;1515;9430
2; 'Brooklyn Nets'; 3850.0;3329;6806; 0.489;1027;2697; 0.381;1404;1758; 0.799;654;2581;3235;2044; 1098.0;565;497;306;1696;9089
3; 'Charlotte Hornets'; 3870.0;3310;7244; 0.457;862;2596; 0.332;1401;1875; 0.747;884;2678;3562;2017; 1128.0;616;411;457;1626;8883
4; 'Chicago Bulls'; 3885.0;3402;6933; 0.491;837;2306; 0.363;1417;1748; 0.811;675;2700;3375;1961; 1081.0;623;360;383;1520;9058
5; 'Cleveland Cavaliers'; 3880.0;3327;6807; 0.489;922;2514; 0.367;1416;1819; 0.778;775;2508;3283;1987; 1061.0;564;372;347;1515;8992
6; 'Dallas Mavericks'; 3890.0;3195;6708; 0.476;1211;3254; 0.372;1536;2028; 0.757;610;2483;3093;1829; 988.0;503;298;305;1661;9137
7; 'Denver Nuggets'; 3807.0;3447;6831; 0.505;939;2462; 0.381;1324;1762; 0.751;799;2598;3397;2287; 1145.0;593;355;330;1471;9157
8; 'Detroit Pistons'; 3865.0;3169;6965; 0.455;912;2595; 0.351;1592;2067; 0.77;891;2488;3379;1840; 1199.0;561;299;443;1773;8842
9; 'Golden State Warriors'; 3870.0;3439;7219; 0.476;1320;3455; 0.382;1279;1615; 0.792;845;2707;3552;2363; 1296.0;569;311;320;1716;9477
10; 'Houston Rockets'; 3855.0;3243;7108; 0.456;843;2577; 0.327;1526;2022; 0.755;1073;2623;3696;1790; 1298.0;581;359;495;1641;8855
11; 'Indiana Pacers'; 3855.0;3357;7173; 0.468;1082;2965; 0.365;1483;1878; 0.79;815;2506;3321;2151; 1190.0;616;466;424;1695;9279
12; 'LA Clippers'; 3870.0;3272;6867; 0.476;1024;2676; 0.383;1491;1908; 0.781;776;2665;3441;1907; 1145.0;570;354;337;1563;9059
13; 'Los Angeles Lakers'; 3880.0;3424;7109; 0.482;849;2477; 0.343;1662;2144; 0.775;798;2847;3645;2019; 1127.0;516;365;402;1445;9359
14; 'Memphis Grizzlies'; 3860.0;3492;7366; 0.474;958;2728; 0.351;1408;1921; 0.733;966;2770;3736;2071; 1092.0;663;463;422;1607;9350
15; 'Miami Heat'; 3817.0;3078;6722; 0.458;929;2722; 0.341;1532;1838; 0.834;765;2431;3196;1860; 1061.0;635;236;301;1454;8617
16; 'Milwaukee Bucks'; 3870.0;3424;7237; 0.473;1184;3223; 0.367;1338;1805; 0.741;896;3016;3912;2057; 1166.0;511;398;315;1452;9370
17; 'Minnesota Timberwolves'; 3870.0;3420;6984; 0.49;960;2652; 0.362;1430;1890; 0.757;730;2618;3348;2078; 1234.0;642;428;329;1728;9230
18; 'New Orleans Pelicans'; 3875.0;3365;7011; 0.48;886;2419; 0.366;1541;1951; 0.79;851;2640;3491;2077; 1169.0;664;327;376;1637;9157
19; 'New York Knicks'; 3895.0;3354;7132; 0.47;1008;2847; 0.354;1557;2045; 0.761;1005;2726;3731;1832; 1040.0;514;330;354;1625;9273
20; 'Oklahoma City Thunder'; 3875.0;3449;7403; 0.466;968;2716; 0.356;1538;1902; 0.809;908;2572;3480;1943; 1041.0;659;337;448;1688;9404
21; 'Orlando Magic'; 3812.0;3221;6814; 0.473;846;2427; 0.349;1560;1990; 0.784;796;2611;3407;1839; 1179.0;576;367;402;1605;8848
22; 'Philadelphia 76ers'; 3827.0;3204;6591; 0.486;1000;2585; 0.387;1669;1995; 0.837;686;2536;3222;1976; 1071.0;608;378;367;1612;9077
23; 'Phoenix Suns'; 3812.0;3327;7106; 0.468;961;2565; 0.375;1364;1720; 0.793;939;2562;3501;2157; 1084.0;570;413;314;1690;8979
24; 'Portland Trail Blazers'; 3802.0;3181;6721; 0.473;1023;2798; 0.366;1561;1956; 0.798;753;2472;3225;1890; 1145.0;533;355;337;1592;8946
25; 'Sacramento Kings'; 3870.0;3498;7049; 0.496;1106;2978; 0.371;1604;2022; 0.793;754;2653;3407;2189; 1079.0;557;266;332;1582;9706
26; 'San Antonio Spurs'; 3827.0;3385;7288; 0.464;873;2538; 0.344;1228;1657; 0.741;924;2499;3423;2138; 1213.0;556;311;406;1589;8871
27; 'Toronto Raptors'; 3865.0;3346;7301; 0.458;860;2562; 0.336;1479;1889; 0.783;1024;2424;3448;1911; 939.0;752;420;367;1605;9031
28; 'Utah Jazz'; 3817.0;3349;7081; 0.473;1068;2998; 0.356;1501;1910; 0.786;937;2676;3613;2044; 1213.0;482;421;387;1622;9267
29; 'Washington Wizards'; 3855.0;3376;6946; 0.486;904;2523; 0.358;1400;1780; 0.787;748;2729;3477;2032; 1128.0;546;416;396;1500;9056
